132, 75, 38,145,110, 34,122,137,111,161,132, 37, 0.0
134, 74, 37,148,101, 31,120,141,110,163,133, 35, 0.0
133, 73, 36,144, 99, 31,119,143,111,162,132, 34, 0.0
160,116, 38,160,116, 38,132,146,120,168,138, 38, 1.0
161,114, 36,158,115, 36,128,152,120,169,137, 34, 1.0
160,113, 35,163,121, 35,126,151,119,169,137, 34, 1.0
167,137, 39,183,137, 43,149,169,139,191,160, 48, 2.0
169,139, 41,182,135, 43,142,169,138,194,161, 45, 2.0
165,132, 35,180,133, 41,145,172,141,193,160, 45, 2.0
129,114, 45,182,137, 47,157,171,128,197,166, 49, 3.0
132,116, 39,182,137, 44,158,181,127,197,165, 44, 3.0
132,116, 41,186,137, 45,155,178,126,197,165, 46, 3.0
 93, 89, 62,194,159, 43,147,171,119,191,158, 43, 4.0
 93, 89, 60,193,160, 45,149,173,121,190,157, 42, 4.0
 94, 89, 60,197,162, 46,147,171,119,193,160, 45, 4.0
 83, 85, 74,153,130, 28,138,158,107,180,146, 38, 5.0
 82, 84, 73,157,134, 32,137,157,106,178,144, 36, 5.0
 84, 86, 75,160,137, 33,138,161,109,178,146, 37, 5.0
 52, 54, 76,142,134, 36,158,183,126,204,170, 47, 6.0
 51, 63, 75,138,132, 34,158,183,126,203,168, 50, 6.0
 48, 60, 72,139,133, 35,155,180,123,206,172, 49, 6.0
 39, 52, 84, 95,111, 38,155,183,125,207,173, 47, 7.0
 42, 53, 85, 98,111, 39,157,185,127,207,173, 49, 7.0
 38, 51, 83, 94,110, 39,158,183,126,208,173, 47, 7.0
 37, 39, 98, 64, 87, 69,152,179,124,206,172, 48, 8.0
 35, 37, 96, 66, 87, 70,156,183,128,208,172, 50, 8.0
 36, 38, 99, 65, 88, 70,159,186,135,209,173, 51, 8.0
 38, 40, 99, 39, 56, 66,164,187,133,209,173, 53, 9.0
 37, 39, 98, 41, 58, 68,166,189,135,206,171, 51, 9.0
 37, 39, 98, 42, 59, 69,166,189,137,208,173, 53, 9.0
 25, 25, 77, 10, 27, 53, 98, 65, 62,155,112, 33, 10.0
 24, 24, 76, 11, 28, 54, 98, 65, 60,154,111, 32, 10.0
 25, 25, 79, 11, 28, 54, 98, 65, 60,155,112, 33, 10.0
 44, 39,103, 23, 58, 86,117, 57, 85,178,125, 47, 10.0
 42, 39, 92, 16, 50, 77,121, 61, 89,177,125, 49, 10.0
 39, 34, 98, 21, 57, 81,119, 59, 87,174,122, 46, 10.0
 31, 31, 91, 17, 36, 66, 96, 47, 68,164,109, 52, 11.0
 34, 33, 93, 15, 34, 64, 98, 46, 68,165,109, 52, 11.0
 32, 32, 92, 15, 34, 66, 97, 48, 69,163,108, 51, 11.0
 35, 37, 98, 17, 43, 78,108, 37, 51,178,119, 89, 12.0
 37, 38,102, 15, 41, 76,105, 34, 48,176,117, 87, 12.0
 34, 36, 97, 17, 43, 78,108, 37, 51,177,116, 87, 12.0
 34, 36, 97, 18, 43, 74,105, 34, 48,174,108, 86, 13.0
 35, 37, 98, 18, 42, 76,107, 36, 50,171,105, 83, 13.0
 36, 38, 99, 18, 42, 76,104, 33, 47,173,106, 87, 13.0
 37, 39,100, 21, 45, 79,116, 38, 54,168, 89, 84, 14.0
 38, 40,101, 23, 46, 80,116, 38, 54,167, 88, 83, 14.0
 38, 40,101, 20, 44, 78,111, 34, 50,167, 88, 83, 14.0
